"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[17,5]","27","1.091","0.196","0.004","0.019","0.159","0.184","0.195","0.206","0.234"
"beta[17,6]","42","1.112","0.155","0.001","0.007","0.142","0.15","0.155","0.16","0.168"
"beta[18,1]","13","1.144","0.299","0.006","0.021","0.259","0.284","0.298","0.312","0.343"
"beta[18,2]","17","1.153","0.076","0.003","0.013","0.055","0.067","0.074","0.084","0.108"
"beta[18,3]","40","1.089","0.151","0.002","0.01","0.132","0.144","0.15","0.157","0.173"
"beta[18,4]","115","1.02","0.127","0.001","0.01","0.108","0.121","0.126","0.133","0.148"
"beta[18,5]","28","1.09","0.193","0.003","0.018","0.157","0.18","0.192","0.204","0.231"
"beta[18,6]","49","1.107","0.155","0.001","0.007","0.142","0.15","0.155","0.159","0.168"
"beta[19,1]","17","1.122","0.299","0.005","0.019","0.265","0.287","0.298","0.311","0.34"
"beta[19,2]","16","1.152","0.078","0.003","0.013","0.057","0.069","0.076","0.085","0.107"
"beta[19,3]","38","1.088","0.152","0.002","0.01","0.134","0.145","0.151","0.159","0.175"
"beta[19,4]","125","1.02","0.127","0.001","0.009","0.109","0.121","0.127","0.132","0.148"
"beta[19,5]","33","1.067","0.189","0.003","0.017","0.155","0.178","0.189","0.2","0.222"
"beta[19,6]","46","1.129","0.154","0.001","0.007","0.142","0.149","0.154","0.159","0.167"
"beta[20,1]","29","1.097","0.3","0.003","0.017","0.267","0.289","0.299","0.311","0.337"
"beta[20,2]","19","1.135","0.08","0.003","0.012","0.06","0.072","0.08","0.087","0.108"
"beta[20,3]","35","1.079","0.154","0.002","0.01","0.136","0.147","0.153","0.16","0.175"
"beta[20,4]","107","1.03","0.127","0.001","0.009","0.111","0.121","0.127","0.132","0.148"
"beta[20,5]","36","1.056","0.185","0.003","0.016","0.154","0.175","0.185","0.196","0.215"
"beta[20,6]","55","1.128","0.154","0.001","0.007","0.141","0.149","0.154","0.158","0.167"
"beta[21,1]","57","1.071","0.301","0.002","0.016","0.27","0.29","0.3","0.311","0.333"
"beta[21,2]","24","1.101","0.082","0.002","0.011","0.064","0.074","0.081","0.088","0.109"
"beta[21,3]","35","1.075","0.155","0.002","0.01","0.138","0.149","0.155","0.162","0.174"
"beta[21,4]","89","1.053","0.127","0.001","0.009","0.112","0.121","0.126","0.133","0.148"
"beta[21,5]","35","1.051","0.182","0.002","0.014","0.154","0.173","0.182","0.191","0.207"
"beta[21,6]","62","1.102","0.153","0.001","0.006","0.141","0.149","0.153","0.157","0.166"
"beta[22,1]","104","1.039","0.301","0.001","0.013","0.277","0.292","0.301","0.31","0.327"
"beta[22,2]","26","1.095","0.084","0.002","0.01","0.067","0.077","0.083","0.09","0.107"
"beta[22,3]","33","1.074","0.157","0.002","0.009","0.142","0.151","0.156","0.163","0.175"
"beta[22,4]","22","1.102","0.127","0.002","0.009","0.112","0.121","0.126","0.132","0.146"
"beta[22,5]","46","1.032","0.178","0.002","0.011","0.154","0.17","0.178","0.186","0.199"
"beta[22,6]","67","1.063","0.153","0.001","0.006","0.142","0.15","0.153","0.156","0.165"
"beta[23,1]","211","1.014","0.309","0.001","0.009","0.291","0.303","0.309","0.315","0.327"
"beta[23,2]","40","1.07","0.086","0.001","0.007","0.074","0.082","0.086","0.091","0.1"
"beta[23,3]","60","1.034","0.161","0.001","0.007","0.149","0.157","0.161","0.166","0.176"
"beta[23,4]","17","1.114","0.125","0.002","0.007","0.113","0.12","0.125","0.13","0.139"
"beta[23,5]","57","1.027","0.167","0.001","0.008","0.151","0.162","0.168","0.173","0.183"
"beta[23,6]","66","1.032","0.15","0.001","0.006","0.14","0.147","0.15","0.154","0.161"
"beta[24,1]","164","1.016","0.311","0.001","0.013","0.286","0.303","0.311","0.32","0.335"
"beta[24,2]","105","1.043","0.09","0.001","0.009","0.071","0.085","0.09","0.096","0.107"
