"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[24,3]","78","1.021","0.161","0.001","0.008","0.146","0.156","0.16","0.165","0.176"
"beta[24,4]","34","1.077","0.125","0.001","0.008","0.11","0.12","0.125","0.13","0.14"
"beta[24,5]","62","1.021","0.163","0.001","0.01","0.144","0.156","0.162","0.17","0.184"
"beta[24,6]","74","1.024","0.15","0.001","0.005","0.14","0.147","0.15","0.154","0.161"
"beta[25,1]","156","1.02","0.312","0.001","0.014","0.284","0.303","0.313","0.321","0.342"
"beta[25,2]","119","1.041","0.095","0.001","0.009","0.078","0.089","0.095","0.101","0.113"
"beta[25,3]","63","1.042","0.16","0.001","0.008","0.144","0.155","0.16","0.165","0.176"
"beta[25,4]","51","1.065","0.125","0.001","0.008","0.111","0.12","0.125","0.13","0.141"
"beta[25,5]","58","1.016","0.158","0.002","0.012","0.138","0.15","0.157","0.165","0.182"
"beta[25,6]","84","1.018","0.149","0.001","0.005","0.139","0.146","0.149","0.153","0.16"
"beta[26,1]","137","1.023","0.313","0.001","0.015","0.284","0.303","0.313","0.323","0.343"
"beta[26,2]","135","1.039","0.1","0.001","0.009","0.081","0.093","0.1","0.106","0.117"
"beta[26,3]","71","1.039","0.16","0.001","0.008","0.145","0.154","0.16","0.165","0.177"
"beta[26,4]","72","1.05","0.125","0.001","0.008","0.111","0.12","0.125","0.13","0.142"
"beta[26,5]","60","1.014","0.154","0.001","0.011","0.133","0.146","0.153","0.161","0.179"
"beta[26,6]","88","1.019","0.148","0.001","0.005","0.138","0.145","0.148","0.152","0.159"
"beta[27,1]","147","1.017","0.314","0.001","0.014","0.288","0.305","0.314","0.323","0.342"
"beta[27,2]","103","1.047","0.105","0.001","0.01","0.085","0.098","0.105","0.111","0.124"
"beta[27,3]","85","1.026","0.16","0.001","0.008","0.145","0.155","0.16","0.164","0.175"
"beta[27,4]","78","1.042","0.125","0.001","0.007","0.112","0.12","0.125","0.13","0.14"
"beta[27,5]","71","1.011","0.149","0.001","0.01","0.13","0.142","0.148","0.156","0.171"
"beta[27,6]","91","1.019","0.147","0.001","0.005","0.137","0.144","0.147","0.15","0.157"
"beta[28,1]","149","1.012","0.315","0.001","0.012","0.291","0.307","0.315","0.323","0.339"
"beta[28,2]","36","1.08","0.11","0.002","0.01","0.092","0.104","0.111","0.117","0.13"
"beta[28,3]","119","1.02","0.159","0.001","0.007","0.147","0.154","0.159","0.163","0.173"
"beta[28,4]","103","1.033","0.125","0.001","0.006","0.113","0.121","0.125","0.129","0.138"
"beta[28,5]","64","1.013","0.144","0.001","0.009","0.127","0.138","0.144","0.15","0.163"
"beta[28,6]","90","1.017","0.146","0","0.005","0.137","0.143","0.146","0.149","0.156"
"beta[29,1]","219","1.021","0.313","0.001","0.008","0.298","0.308","0.313","0.318","0.329"
"beta[29,2]","33","1.084","0.114","0.001","0.006","0.104","0.11","0.114","0.117","0.125"
"beta[29,3]","77","1.047","0.16","0.001","0.005","0.151","0.157","0.16","0.164","0.171"
"beta[29,4]","176","1.004","0.126","0","0.005","0.117","0.123","0.126","0.129","0.135"
"beta[29,5]","100","1.006","0.136","0.001","0.006","0.125","0.132","0.136","0.14","0.148"
"beta[29,6]","100","1.011","0.151","0","0.004","0.143","0.149","0.151","0.154","0.159"
"beta[30,1]","238","1.02","0.336","0.001","0.008","0.32","0.33","0.335","0.341","0.353"
"beta[30,2]","15","1.115","0.118","0.002","0.006","0.106","0.114","0.118","0.122","0.131"
"beta[30,3]","102","1.035","0.16","0","0.005","0.15","0.156","0.159","0.162","0.171"
"beta[30,4]","94","1.007","0.122","0.001","0.005","0.112","0.119","0.122","0.125","0.132"
"beta[30,5]","102","1.017","0.124","0","0.005","0.114","0.121","0.124","0.127","0.135"
"beta[30,6]","81","1.021","0.14","0","0.004","0.133","0.137","0.14","0.143","0.148"
"beta[31,1]","110","1.047","0.332","0.001","0.011","0.313","0.325","0.331","0.339","0.357"
"beta[31,2]","58","1.069","0.132","0.001","0.01","0.113","0.126","0.132","0.138","0.155"
"beta[31,3]","93","1.021","0.159","0.001","0.006","0.148","0.155","0.158","0.163","0.172"
"beta[31,4]","68","1.02","0.12","0.001","0.006","0.108","0.116","0.12","0.124","0.131"
"beta[31,5]","111","1.008","0.118","0.001","0.006","0.106","0.114","0.118","0.122","0.131"
"beta[31,6]","64","1.03","0.138","0.001","0.004","0.13","0.136","0.138","0.141","0.147"
"beta[32,1]","124","1.04","0.331","0.001","0.011","0.31","0.323","0.33","0.338","0.353"
"beta[32,2]","50","1.065","0.147","0.002","0.011","0.126","0.14","0.147","0.154","0.172"
"beta[32,3]","46","1.036","0.158","0.001","0.006","0.146","0.153","0.157","0.162","0.171"
"beta[32,4]","68","1.017","0.117","0.001","0.006","0.106","0.112","0.117","0.121","0.128"
"beta[32,5]","123","1.018","0.112","0.001","0.006","0.101","0.109","0.113","0.117","0.123"
"beta[32,6]","39","1.079","0.135","0.001","0.004","0.127","0.132","0.135","0.138","0.144"
"beta[33,1]","113","1.031","0.327","0.001","0.008","0.312","0.322","0.327","0.333","0.343"
"beta[33,2]","102","1.043","0.16","0.001","0.007","0.147","0.155","0.16","0.165","0.174"
"beta[33,3]","30","1.067","0.158","0.001","0.005","0.148","0.154","0.158","0.162","0.169"
"beta[33,4]","59","1.058","0.114","0.001","0.005","0.104","0.11","0.114","0.117","0.129"
"beta[33,5]","118","1.048","0.104","0","0.005","0.094","0.1","0.104","0.107","0.113"
"beta[33,6]","78","1.026","0.138","0","0.004","0.131","0.135","0.137","0.14","0.146"
"beta[34,1]","127","1.031","0.332","0.001","0.012","0.31","0.323","0.331","0.34","0.357"
"beta[34,2]","82","1.045","0.177","0.001","0.013","0.151","0.168","0.176","0.185","0.203"
