"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[1,1]","45","1.036","0.309","0.004","0.029","0.255","0.289","0.307","0.329","0.368"
"beta[1,2]","8","1.19","0.058","0.005","0.014","0.036","0.048","0.056","0.066","0.093"
"beta[1,3]","55","1.048","0.136","0.002","0.011","0.117","0.128","0.135","0.143","0.162"
"beta[1,4]","22","1.128","0.127","0.003","0.014","0.099","0.118","0.126","0.136","0.16"
"beta[1,5]","23","1.153","0.211","0.005","0.023","0.164","0.196","0.211","0.227","0.257"
"beta[1,6]","75","1.045","0.158","0.001","0.008","0.143","0.153","0.158","0.164","0.176"
"beta[2,1]","42","1.037","0.309","0.004","0.028","0.257","0.289","0.308","0.327","0.366"
"beta[2,2]","7","1.212","0.058","0.005","0.014","0.036","0.049","0.056","0.066","0.09"
"beta[2,3]","52","1.052","0.136","0.001","0.01","0.118","0.129","0.135","0.143","0.16"
"beta[2,4]","17","1.167","0.127","0.003","0.014","0.102","0.118","0.127","0.135","0.16"
"beta[2,5]","21","1.175","0.211","0.005","0.022","0.168","0.198","0.212","0.224","0.254"
"beta[2,6]","65","1.052","0.159","0.001","0.008","0.144","0.153","0.158","0.164","0.175"
"beta[3,1]","43","1.033","0.308","0.004","0.026","0.26","0.29","0.308","0.324","0.361"
"beta[3,2]","7","1.213","0.058","0.005","0.013","0.038","0.05","0.056","0.066","0.088"
"beta[3,3]","48","1.059","0.136","0.001","0.01","0.119","0.13","0.136","0.142","0.158"
"beta[3,4]","14","1.174","0.127","0.004","0.013","0.103","0.119","0.126","0.134","0.161"
"beta[3,5]","21","1.187","0.211","0.004","0.02","0.172","0.199","0.212","0.224","0.251"
"beta[3,6]","44","1.072","0.159","0.001","0.007","0.145","0.153","0.158","0.163","0.174"
"beta[4,1]","43","1.035","0.307","0.004","0.023","0.263","0.291","0.307","0.322","0.353"
"beta[4,2]","9","1.19","0.059","0.004","0.011","0.04","0.051","0.057","0.065","0.087"
"beta[4,3]","42","1.07","0.137","0.001","0.009","0.119","0.131","0.136","0.142","0.155"
"beta[4,4]","15","1.166","0.127","0.003","0.012","0.104","0.119","0.126","0.133","0.155"
"beta[4,5]","18","1.211","0.212","0.004","0.018","0.175","0.201","0.212","0.224","0.246"
"beta[4,6]","35","1.095","0.159","0.001","0.007","0.145","0.154","0.158","0.163","0.174"
"beta[5,1]","43","1.038","0.307","0.003","0.02","0.267","0.293","0.308","0.32","0.346"
"beta[5,2]","13","1.156","0.059","0.003","0.01","0.042","0.053","0.058","0.065","0.083"
"beta[5,3]","46","1.065","0.136","0.001","0.009","0.117","0.131","0.136","0.142","0.153"
"beta[5,4]","19","1.118","0.126","0.002","0.011","0.106","0.119","0.124","0.133","0.146"
"beta[5,5]","15","1.256","0.213","0.004","0.016","0.18","0.203","0.215","0.224","0.242"
"beta[5,6]","32","1.11","0.158","0.001","0.007","0.145","0.154","0.158","0.162","0.174"
"beta[6,1]","44","1.028","0.306","0.003","0.018","0.272","0.294","0.306","0.318","0.341"
"beta[6,2]","27","1.119","0.06","0.002","0.009","0.045","0.054","0.059","0.065","0.079"
"beta[6,3]","51","1.06","0.137","0.001","0.007","0.12","0.132","0.137","0.141","0.152"
"beta[6,4]","20","1.1","0.125","0.002","0.009","0.107","0.119","0.124","0.13","0.143"
