"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[6,5]","21","1.177","0.214","0.003","0.014","0.186","0.205","0.215","0.223","0.24"
"beta[6,6]","35","1.115","0.158","0.001","0.006","0.147","0.154","0.158","0.162","0.172"
"beta[7,1]","49","1.011","0.306","0.002","0.015","0.279","0.296","0.305","0.316","0.335"
"beta[7,2]","34","1.096","0.06","0.001","0.007","0.048","0.055","0.059","0.063","0.075"
"beta[7,3]","44","1.072","0.137","0.001","0.006","0.124","0.133","0.137","0.141","0.15"
"beta[7,4]","29","1.079","0.124","0.001","0.007","0.11","0.12","0.124","0.13","0.138"
"beta[7,5]","37","1.086","0.215","0.002","0.012","0.193","0.207","0.215","0.223","0.238"
"beta[7,6]","40","1.118","0.158","0.001","0.005","0.148","0.155","0.158","0.161","0.17"
"beta[8,1]","125","1.014","0.314","0.001","0.009","0.298","0.308","0.313","0.32","0.333"
"beta[8,2]","65","1.065","0.06","0.001","0.005","0.052","0.057","0.06","0.063","0.069"
"beta[8,3]","32","1.086","0.139","0.001","0.005","0.129","0.136","0.139","0.143","0.149"
"beta[8,4]","16","1.103","0.122","0.001","0.005","0.111","0.118","0.122","0.125","0.131"
"beta[8,5]","93","1.048","0.209","0.001","0.008","0.193","0.203","0.209","0.214","0.223"
"beta[8,6]","76","1.052","0.156","0","0.004","0.148","0.153","0.156","0.159","0.165"
"beta[9,1]","140","1.001","0.303","0","0.006","0.292","0.299","0.303","0.307","0.315"
"beta[9,2]","136","1.011","0.056","0","0.003","0.051","0.055","0.056","0.058","0.062"
"beta[9,3]","19","1.135","0.139","0.001","0.005","0.131","0.136","0.14","0.142","0.147"
"beta[9,4]","167","1.023","0.123","0","0.004","0.116","0.12","0.123","0.125","0.129"
"beta[9,5]","250","1.005","0.215","0","0.005","0.205","0.211","0.215","0.218","0.224"
"beta[9,6]","51","1.091","0.164","0.001","0.004","0.156","0.161","0.164","0.166","0.171"
"beta[10,1]","86","1.006","0.306","0.001","0.012","0.283","0.298","0.305","0.313","0.329"
"beta[10,2]","70","1.015","0.059","0.001","0.006","0.048","0.055","0.059","0.063","0.07"
"beta[10,3]","17","1.175","0.141","0.002","0.007","0.128","0.136","0.141","0.146","0.153"
"beta[10,4]","151","1.03","0.124","0","0.005","0.113","0.12","0.124","0.127","0.134"
"beta[10,5]","85","1.02","0.214","0.001","0.01","0.195","0.206","0.213","0.22","0.236"
"beta[10,6]","53","1.065","0.157","0.001","0.005","0.149","0.154","0.157","0.161","0.168"
"beta[11,1]","87","1.005","0.306","0.002","0.014","0.279","0.296","0.307","0.317","0.334"
"beta[11,2]","56","1.023","0.061","0.001","0.007","0.047","0.055","0.06","0.065","0.075"
"beta[11,3]","16","1.166","0.142","0.002","0.008","0.126","0.136","0.142","0.147","0.157"
"beta[11,4]","94","1.044","0.124","0.001","0.007","0.11","0.119","0.123","0.128","0.138"
"beta[11,5]","53","1.046","0.211","0.002","0.013","0.187","0.202","0.21","0.219","0.24"
"beta[11,6]","44","1.073","0.157","0.001","0.006","0.148","0.153","0.156","0.16","0.169"
"beta[12,1]","101","1.004","0.305","0.002","0.017","0.273","0.294","0.305","0.316","0.337"
"beta[12,2]","46","1.029","0.063","0.001","0.008","0.047","0.057","0.062","0.068","0.08"
"beta[12,3]","14","1.18","0.143","0.002","0.009","0.125","0.136","0.143","0.149","0.16"
"beta[12,4]","116","1.047","0.124","0.001","0.008","0.108","0.119","0.124","0.129","0.14"
"beta[12,5]","36","1.07","0.209","0.003","0.017","0.178","0.198","0.207","0.218","0.247"
"beta[12,6]","44","1.066","0.156","0.001","0.006","0.146","0.152","0.156","0.16","0.17"
"beta[13,1]","65","1.036","0.303","0.002","0.019","0.269","0.29","0.303","0.315","0.341"
"beta[13,2]","42","1.046","0.065","0.001","0.009","0.048","0.058","0.064","0.071","0.084"
"beta[13,3]","14","1.162","0.144","0.003","0.01","0.126","0.137","0.144","0.151","0.163"
"beta[13,4]","142","1.035","0.125","0.001","0.008","0.107","0.119","0.125","0.13","0.142"
"beta[13,5]","28","1.098","0.207","0.004","0.019","0.172","0.194","0.205","0.217","0.25"
"beta[13,6]","43","1.081","0.156","0.001","0.006","0.145","0.152","0.156","0.16","0.169"
"beta[14,1]","29","1.083","0.302","0.004","0.02","0.265","0.288","0.301","0.314","0.341"
"beta[14,2]","28","1.084","0.067","0.002","0.01","0.048","0.06","0.066","0.074","0.088"
"beta[14,3]","16","1.137","0.146","0.003","0.01","0.127","0.139","0.146","0.152","0.166"
"beta[14,4]","151","1.027","0.125","0.001","0.009","0.107","0.12","0.126","0.13","0.143"
"beta[14,5]","25","1.102","0.204","0.004","0.019","0.169","0.192","0.204","0.215","0.246"
"beta[14,6]","45","1.081","0.156","0.001","0.006","0.144","0.152","0.156","0.16","0.169"
"beta[15,1]","15","1.123","0.3","0.005","0.021","0.262","0.285","0.3","0.313","0.342"
"beta[15,2]","21","1.112","0.07","0.002","0.011","0.05","0.061","0.068","0.077","0.093"
"beta[15,3]","21","1.11","0.147","0.002","0.01","0.128","0.14","0.148","0.154","0.168"
"beta[15,4]","134","1.027","0.126","0.001","0.009","0.106","0.121","0.127","0.132","0.145"
"beta[15,5]","29","1.089","0.201","0.003","0.019","0.165","0.189","0.201","0.212","0.24"
"beta[15,6]","45","1.084","0.156","0.001","0.007","0.143","0.151","0.156","0.16","0.169"
"beta[16,1]","11","1.16","0.299","0.007","0.021","0.258","0.284","0.299","0.313","0.341"
"beta[16,2]","20","1.118","0.072","0.003","0.012","0.051","0.064","0.07","0.08","0.098"
"beta[16,3]","34","1.093","0.149","0.002","0.01","0.129","0.141","0.149","0.155","0.17"
"beta[16,4]","118","1.029","0.127","0.001","0.01","0.107","0.121","0.127","0.133","0.146"
"beta[16,5]","28","1.085","0.198","0.003","0.018","0.162","0.186","0.198","0.208","0.234"
"beta[16,6]","43","1.1","0.156","0.001","0.007","0.143","0.151","0.156","0.16","0.168"
"beta[17,1]","10","1.17","0.298","0.007","0.022","0.257","0.283","0.297","0.312","0.342"
"beta[17,2]","21","1.113","0.074","0.003","0.013","0.052","0.065","0.073","0.082","0.105"
"beta[17,3]","39","1.084","0.15","0.002","0.01","0.13","0.143","0.149","0.157","0.172"
"beta[17,4]","114","1.019","0.127","0.001","0.01","0.108","0.121","0.127","0.133","0.148"
