"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[51,1]","187","1.022","0.376","0.001","0.007","0.362","0.371","0.376","0.38","0.39"
"beta[51,2]","257","1.006","0.25","0","0.007","0.236","0.245","0.25","0.255","0.263"
"beta[51,3]","164","1.008","0.128","0","0.004","0.121","0.126","0.128","0.131","0.136"
"beta[51,4]","182","1.022","0.098","0","0.003","0.091","0.096","0.098","0.1","0.104"
"beta[51,5]","221","1.012","0.048","0","0.002","0.044","0.046","0.048","0.049","0.053"
"beta[51,6]","5","1.243","0.1","0.001","0.003","0.094","0.098","0.1","0.102","0.106"
"beta[52,1]","325","1.012","0.385","0","0.007","0.371","0.38","0.385","0.39","0.4"
"beta[52,2]","288","1.006","0.27","0","0.007","0.256","0.265","0.27","0.275","0.285"
"beta[52,3]","197","1.021","0.124","0","0.003","0.117","0.122","0.124","0.126","0.131"
"beta[52,4]","142","1.034","0.088","0","0.003","0.082","0.086","0.088","0.09","0.094"
"beta[52,5]","175","1.014","0.043","0","0.002","0.04","0.042","0.043","0.045","0.048"
"beta[52,6]","5","1.274","0.089","0.001","0.003","0.084","0.087","0.089","0.091","0.095"
"beta[53,1]","172","1.022","0.396","0","0.005","0.386","0.392","0.396","0.399","0.405"
"beta[53,2]","214","1.007","0.251","0","0.004","0.243","0.248","0.251","0.254","0.259"
"beta[53,3]","265","1.007","0.128","0","0.003","0.123","0.127","0.129","0.13","0.133"
"beta[53,4]","144","1.019","0.087","0","0.002","0.083","0.086","0.087","0.089","0.092"
"beta[53,5]","235","1.006","0.042","0","0.001","0.039","0.041","0.042","0.043","0.045"
"beta[53,6]","12","1.162","0.096","0.001","0.002","0.091","0.094","0.096","0.097","0.1"
"beta[54,1]","1,006","1.002","0.402","0","0.003","0.396","0.4","0.402","0.404","0.409"
"beta[54,2]","1,271","1.002","0.246","0","0.003","0.24","0.244","0.246","0.248","0.252"
"beta[54,3]","459","1.006","0.14","0","0.002","0.136","0.139","0.14","0.142","0.145"
"beta[54,4]","51","1.051","0.081","0","0.002","0.077","0.079","0.081","0.082","0.085"
"beta[54,5]","150","1.007","0.036","0","0.001","0.033","0.035","0.036","0.036","0.038"
"beta[54,6]","110","1.039","0.096","0","0.002","0.092","0.095","0.096","0.097","0.099"
"beta[55,1]","87","1.02","0.401","0.002","0.014","0.373","0.392","0.401","0.412","0.428"
"beta[55,2]","181","1.025","0.248","0.001","0.016","0.217","0.236","0.247","0.258","0.281"
"beta[55,3]","205","1.02","0.141","0","0.006","0.13","0.137","0.141","0.145","0.153"
"beta[55,4]","50","1.011","0.081","0.001","0.005","0.072","0.078","0.081","0.084","0.092"
"beta[55,5]","92","1.02","0.036","0","0.003","0.03","0.034","0.036","0.037","0.041"
"beta[55,6]","40","1.118","0.093","0.001","0.004","0.086","0.09","0.093","0.096","0.101"
"beta[56,1]","68","1.064","0.409","0.041","0.342","0.002","0.081","0.326","0.731","0.996"
"beta[56,2]","37","1.064","0.194","0.048","0.29","0","0","0.03","0.28","0.963"
"beta[56,3]","75","1.047","0.046","0.015","0.133","0","0","0","0.01","0.526"
"beta[56,4]","53","1.065","0.123","0.03","0.217","0","0","0.011","0.133","0.744"
"beta[56,5]","26","1.098","0.19","0.054","0.274","0","0.001","0.025","0.31","0.882"
"beta[56,6]","30","1.157","0.038","0.024","0.134","0","0","0","0.004","0.52"
