"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[6,1]","4,844","1","0.654","0","0.021","0.611","0.641","0.655","0.668","0.695"
"beta[6,2]","3,443","1.001","0.122","0","0.009","0.106","0.116","0.122","0.128","0.14"
"beta[6,3]","2,844","1","0.1","0","0.007","0.086","0.095","0.099","0.104","0.114"
"beta[6,4]","2,020","1","0.124","0","0.008","0.108","0.118","0.124","0.129","0.141"
"beta[7,1]","4,826","1","0.656","0","0.022","0.612","0.642","0.657","0.671","0.699"
"beta[7,2]","3,360","1.001","0.122","0","0.009","0.105","0.115","0.121","0.127","0.14"
"beta[7,3]","2,947","1","0.099","0","0.007","0.085","0.094","0.099","0.104","0.114"
"beta[7,4]","2,036","1","0.123","0","0.009","0.107","0.117","0.123","0.129","0.141"
"beta[8,1]","4,524","1","0.659","0","0.022","0.614","0.645","0.659","0.673","0.7"
"beta[8,2]","3,047","1.001","0.121","0","0.009","0.104","0.115","0.121","0.127","0.139"
"beta[8,3]","2,705","1","0.098","0","0.007","0.084","0.093","0.098","0.103","0.113"
"beta[8,4]","1,882","1","0.122","0","0.009","0.106","0.117","0.122","0.128","0.14"
"beta[9,1]","4,456","1","0.661","0","0.02","0.621","0.648","0.661","0.674","0.699"
"beta[9,2]","2,941","1.001","0.12","0","0.008","0.104","0.115","0.12","0.126","0.137"
"beta[9,3]","2,714","1","0.097","0","0.007","0.084","0.093","0.097","0.102","0.111"
"beta[9,4]","1,635","1","0.122","0","0.008","0.107","0.116","0.121","0.127","0.138"
"beta[10,1]","4,828","1","0.662","0","0.016","0.631","0.651","0.662","0.672","0.693"
"beta[10,2]","2,855","1.001","0.121","0","0.007","0.108","0.116","0.121","0.125","0.135"
"beta[10,3]","2,263","1","0.097","0","0.006","0.086","0.093","0.097","0.101","0.109"
"beta[10,4]","1,622","1.001","0.12","0","0.007","0.108","0.116","0.12","0.125","0.134"
"beta[11,1]","4,700","1","0.654","0","0.018","0.618","0.642","0.654","0.666","0.69"
"beta[11,2]","2,796","1.001","0.123","0","0.008","0.108","0.118","0.123","0.128","0.139"
"beta[11,3]","2,127","1","0.099","0","0.006","0.087","0.095","0.099","0.103","0.111"
"beta[11,4]","1,529","1.001","0.124","0","0.007","0.11","0.119","0.124","0.129","0.139"
"beta[12,1]","5,389","1","0.646","0","0.018","0.611","0.634","0.647","0.658","0.681"
"beta[12,2]","2,620","1.001","0.126","0","0.008","0.112","0.121","0.126","0.131","0.143"
"beta[12,3]","1,774","1","0.101","0","0.006","0.088","0.096","0.1","0.105","0.113"
"beta[12,4]","1,526","1.001","0.127","0","0.007","0.113","0.122","0.127","0.132","0.142"
"beta[13,1]","5,593","1","0.638","0","0.014","0.609","0.628","0.638","0.648","0.666"
"beta[13,2]","2,037","1.001","0.13","0","0.007","0.117","0.125","0.13","0.134","0.145"
"beta[13,3]","1,388","1.001","0.102","0","0.006","0.091","0.098","0.102","0.106","0.113"
"beta[13,4]","1,240","1.002","0.13","0","0.007","0.117","0.125","0.13","0.134","0.143"
"beta[14,1]","5,501","1","0.643","0","0.019","0.606","0.631","0.643","0.655","0.679"
"beta[14,2]","2,527","1","0.128","0","0.008","0.113","0.123","0.128","0.133","0.145"
"beta[14,3]","1,926","1.001","0.101","0","0.006","0.088","0.096","0.101","0.105","0.114"
"beta[14,4]","1,459","1.002","0.128","0","0.008","0.114","0.123","0.128","0.133","0.143"
"beta[15,1]","4,927","1","0.647","0","0.02","0.607","0.635","0.648","0.66","0.686"
"beta[15,2]","2,589","1","0.127","0","0.008","0.111","0.121","0.126","0.132","0.144"
"beta[15,3]","2,096","1.001","0.1","0","0.007","0.087","0.095","0.099","0.104","0.113"
"beta[15,4]","1,530","1.001","0.126","0","0.008","0.112","0.121","0.126","0.132","0.143"
"beta[16,1]","4,837","1.001","0.652","0","0.019","0.613","0.639","0.652","0.665","0.689"
"beta[16,2]","2,580","1","0.125","0","0.008","0.109","0.119","0.125","0.13","0.142"
"beta[16,3]","2,027","1.001","0.098","0","0.007","0.086","0.094","0.098","0.103","0.112"
"beta[16,4]","1,531","1.002","0.125","0","0.008","0.11","0.12","0.125","0.13","0.141"
"beta[17,1]","4,241","1.001","0.655","0","0.016","0.623","0.643","0.655","0.666","0.687"
"beta[17,2]","2,628","1","0.125","0","0.007","0.111","0.12","0.124","0.129","0.139"
"beta[17,3]","1,838","1.001","0.098","0","0.006","0.087","0.094","0.098","0.102","0.11"
"beta[17,4]","1,550","1.002","0.123","0","0.007","0.11","0.119","0.123","0.127","0.136"
"beta[18,1]","4,046","1","0.652","0","0.021","0.613","0.639","0.652","0.666","0.693"
"beta[18,2]","2,984","1","0.125","0","0.009","0.108","0.119","0.125","0.13","0.141"
"beta[18,3]","2,303","1.001","0.098","0","0.007","0.085","0.094","0.098","0.103","0.112"
"beta[18,4]","1,527","1.001","0.125","0","0.008","0.109","0.119","0.125","0.13","0.141"
"beta[19,1]","3,757","1.001","0.651","0","0.023","0.606","0.637","0.651","0.666","0.696"
"beta[19,2]","2,937","1.001","0.125","0","0.009","0.107","0.119","0.125","0.131","0.144"
"beta[19,3]","2,371","1.001","0.098","0","0.007","0.084","0.094","0.098","0.103","0.113"
"beta[19,4]","1,669","1.001","0.125","0","0.009","0.109","0.12","0.125","0.131","0.143"
"beta[20,1]","3,708","1","0.65","0","0.024","0.604","0.635","0.65","0.666","0.697"
"beta[20,2]","3,037","1.001","0.125","0","0.01","0.106","0.119","0.125","0.131","0.144"
"beta[20,3]","2,751","1","0.099","0","0.007","0.084","0.094","0.099","0.104","0.114"
"beta[20,4]","1,686","1.001","0.126","0","0.009","0.108","0.12","0.126","0.132","0.144"
"beta[21,1]","3,575","1.001","0.65","0","0.024","0.603","0.634","0.649","0.665","0.696"
"beta[21,2]","2,909","1.001","0.125","0","0.009","0.107","0.119","0.125","0.132","0.144"
"beta[21,3]","2,795","1","0.099","0","0.008","0.084","0.094","0.099","0.104","0.114"
"beta[21,4]","1,612","1.001","0.126","0","0.009","0.109","0.12","0.126","0.132","0.144"
"beta[22,1]","4,096","1.001","0.649","0","0.022","0.605","0.634","0.649","0.664","0.693"
"beta[22,2]","3,010","1.001","0.126","0","0.009","0.108","0.12","0.125","0.131","0.143"
"beta[22,3]","2,911","1","0.099","0","0.007","0.086","0.094","0.099","0.104","0.114"
"beta[22,4]","1,631","1.001","0.127","0","0.009","0.11","0.121","0.127","0.132","0.144"
"beta[23,1]","4,678","1","0.648","0","0.019","0.61","0.635","0.648","0.661","0.686"
"beta[23,2]","3,131","1.001","0.126","0","0.008","0.11","0.12","0.126","0.131","0.141"
"beta[23,3]","2,961","1","0.099","0","0.006","0.087","0.095","0.099","0.104","0.112"
"beta[23,4]","1,542","1","0.127","0","0.008","0.112","0.122","0.127","0.132","0.142"
"beta[24,1]","6,539","1","0.646","0","0.014","0.619","0.637","0.646","0.655","0.672"
"beta[24,2]","3,288","1","0.127","0","0.006","0.115","0.123","0.127","0.131","0.139"
"beta[24,3]","2,707","1","0.1","0","0.005","0.09","0.097","0.1","0.104","0.111"
"beta[24,4]","1,659","1","0.127","0","0.006","0.115","0.123","0.127","0.131","0.139"
"beta[25,1]","9,913","1","0.617","0","0.01","0.598","0.61","0.617","0.623","0.635"
"beta[25,2]","3,535","1","0.137","0","0.005","0.127","0.134","0.137","0.14","0.147"
"beta[25,3]","2,275","1","0.106","0","0.004","0.098","0.103","0.106","0.109","0.115"
"beta[25,4]","1,341","1","0.14","0","0.005","0.131","0.137","0.14","0.143","0.15"
