"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[1,1]","4,409","1","0.734","0","0.016","0.703","0.723","0.734","0.744","0.764"
"beta[1,2]","3,356","1","0.093","0","0.007","0.08","0.088","0.093","0.098","0.106"
"beta[1,3]","2,736","1.001","0.078","0","0.006","0.067","0.074","0.078","0.082","0.09"
"beta[1,4]","1,844","1.001","0.095","0","0.007","0.082","0.091","0.095","0.099","0.108"
"beta[2,1]","8,767","1","0.7","0","0.014","0.672","0.69","0.699","0.709","0.728"
"beta[2,2]","4,134","1.001","0.105","0","0.007","0.092","0.1","0.105","0.109","0.118"
"beta[2,3]","2,946","1.001","0.088","0","0.006","0.076","0.084","0.087","0.091","0.099"
"beta[2,4]","1,426","1.001","0.108","0","0.006","0.095","0.104","0.108","0.112","0.121"
"beta[3,1]","6,024","1","0.655","0","0.009","0.636","0.648","0.655","0.661","0.673"
"beta[3,2]","3,152","1.002","0.122","0","0.005","0.112","0.118","0.121","0.125","0.132"
"beta[3,3]","1,963","1.001","0.099","0","0.005","0.09","0.096","0.099","0.102","0.109"
"beta[3,4]","1,796","1.001","0.124","0","0.005","0.115","0.121","0.124","0.128","0.135"
"beta[4,1]","6,231","1","0.649","0","0.014","0.621","0.64","0.649","0.658","0.674"
"beta[4,2]","2,993","1.002","0.124","0","0.006","0.112","0.119","0.123","0.128","0.137"
"beta[4,3]","2,225","1","0.101","0","0.006","0.091","0.097","0.101","0.105","0.113"
"beta[4,4]","1,536","1.001","0.126","0","0.006","0.114","0.122","0.126","0.13","0.14"
"beta[5,1]","5,849","1","0.652","0","0.019","0.613","0.64","0.652","0.664","0.687"
"beta[5,2]","3,627","1.001","0.123","0","0.008","0.108","0.118","0.123","0.128","0.139"
"beta[5,3]","2,680","1","0.1","0","0.007","0.088","0.096","0.1","0.105","0.114"
"beta[5,4]","1,855","1","0.125","0","0.008","0.111","0.12","0.125","0.13","0.141"
