X1;n_eff;Rhat;mean;mcse;sd;2.5%;25%;50%;75%;97.5%
beta[13,4];771;1.0082;0.1296;0.0002;0.0063;0.1179;0.1254;0.1293;0.1337;0.1425
beta[14,1];233;1.0046;0.6431;0.0013;0.0192;0.6057;0.6308;0.6432;0.6552;0.6846
beta[14,2];382;1.0024;0.1284;0.0004;0.0083;0.1141;0.1223;0.1281;0.1338;0.1454
beta[14,3];264;1.0044;0.1008;0.0004;0.0067;0.0872;0.0966;0.1007;0.1054;0.114
beta[14,4];186;1.0128;0.1276;0.0006;0.0078;0.1095;0.1229;0.1278;0.1325;0.1429
beta[15,1];975;1.0008;0.6469;0.0006;0.0194;0.6071;0.634;0.6475;0.6606;0.6835
beta[15,2];737;1.0042;0.1269;0.0003;0.0085;0.1115;0.121;0.1268;0.1321;0.1449
beta[15,3];658;1.0017;0.0998;0.0003;0.0067;0.0874;0.0952;0.0994;0.1044;0.1136
beta[15,4];575;1.0052;0.1263;0.0003;0.0076;0.1118;0.1212;0.1263;0.1312;0.1419
beta[16,1];1;888;1.0009;0.6511;0.0004;0.0189;0.6133;0.6384;0.6517;0.664;0.6877
beta[16,2];636;1.0071;0.1253;0.0003;0.0084;0.1099;0.1194;0.1253;0.1307;0.1423
beta[16,3];1;650;1.0015;0.0987;0.0002;0.0065;0.0862;0.0945;0.0984;0.1029;0.112
beta[16,4];763;1.0035;0.1249;0.0003;0.0074;0.1106;0.1197;0.1248;0.1298;0.1399
beta[17,1];387;1.0011;0.6537;0.0008;0.0167;0.62;0.6427;0.6535;0.6656;0.6853
beta[17,2];680;1.0035;0.1247;0.0003;0.0073;0.1114;0.1199;0.1242;0.1295;0.1397
beta[17,3];287;1.0021;0.0983;0.0004;0.0061;0.0871;0.0939;0.0982;0.1024;0.1109
beta[17,4];330;1.0036;0.1233;0.0004;0.0068;0.1103;0.1183;0.1232;0.1281;0.1359
beta[18,1];386;1.0084;0.651;0.0011;0.0209;0.6055;0.6387;0.6508;0.6646;0.6916
beta[18,2];414;1.0138;0.1251;0.0004;0.0087;0.1087;0.1194;0.1246;0.1311;0.1425
beta[18,3];366;1.0051;0.0986;0.0004;0.007;0.0855;0.094;0.0983;0.1031;0.1137
beta[18,4];328;1.0069;0.1252;0.0004;0.0081;0.1097;0.1199;0.1251;0.1306;0.1421
beta[19,1];540;1.0042;0.6502;0.001;0.0229;0.6042;0.6356;0.6503;0.6653;0.6952
beta[19,2];640;1.0092;0.1254;0.0004;0.0094;0.1073;0.1193;0.1249;0.1313;0.1442
beta[19,3];708;1.0016;0.0987;0.0003;0.0073;0.0849;0.0936;0.0988;0.1037;0.113
beta[19,4];333;1.0055;0.1257;0.0005;0.0089;0.1085;0.1197;0.1254;0.1316;0.144
beta[20,1];294;1.0038;0.6503;0.0014;0.0246;0.6039;0.6337;0.6496;0.6665;0.6989
beta[20,2];550;1.0024;0.1251;0.0004;0.0097;0.1067;0.1186;0.1249;0.1315;0.1444
beta[20,3];304;1.0054;0.0988;0.0004;0.0078;0.0834;0.0936;0.099;0.1043;0.1136
beta[20,4];216;1.0074;0.1258;0.0006;0.0095;0.1065;0.1196;0.1259;0.1325;0.1434
beta[21,1];284;1.0018;0.6494;0.0015;0.0246;0.6038;0.634;0.6488;0.6652;0.6976
beta[21,2];478;1.0032;0.1253;0.0004;0.0097;0.1071;0.1189;0.1248;0.1316;0.1443
beta[21,3];297;1.0039;0.099;0.0004;0.0077;0.0833;0.094;0.0992;0.1042;0.1138
beta[21,4];206;1.005;0.1262;0.0007;0.0096;0.1069;0.1201;0.1265;0.1325;0.1446
beta[22,1];655;1.0047;0.6489;0.0009;0.022;0.6055;0.6349;0.648;0.664;0.6919
beta[22,2];1;308;1.0026;0.1253;0.0002;0.0089;0.1081;0.1194;0.1248;0.1312;0.1435
beta[22,3];521;1.0097;0.0992;0.0003;0.0071;0.0858;0.0944;0.0992;0.1041;0.1133
beta[22,4];325;1.0088;0.1266;0.0005;0.0086;0.1103;0.1209;0.1267;0.1326;0.1433
beta[23,1];850;1.0078;0.6476;0.0006;0.0189;0.6105;0.6349;0.6474;0.66;0.6849
beta[23,2];2;176;1.0052;0.1258;0.0002;0.0078;0.1101;0.1207;0.126;0.1304;0.1417
beta[23,3];359;1.0158;0.0995;0.0003;0.0064;0.0875;0.0948;0.0993;0.104;0.1122
beta[23,4];281;1.0134;0.1272;0.0005;0.0077;0.1125;0.1218;0.1273;0.1323;0.1418
beta[24,1];1;703;1.0024;0.6457;0.0003;0.0132;0.6198;0.637;0.6452;0.6546;0.6721
beta[24,2];2;269;1.004;0.1268;0.0001;0.0061;0.1148;0.1231;0.1266;0.1307;0.1391
beta[24,3];593;1.0086;0.1003;0.0002;0.0051;0.0907;0.0968;0.1001;0.104;0.1105
beta[24,4];475;1.0045;0.1272;0.0003;0.0059;0.1154;0.123;0.1272;0.1315;0.1386
beta[25,1];301;1.0102;0.6159;0.0006;0.0096;0.5976;0.6093;0.6163;0.6224;0.6342
beta[25,2];495;1.0128;0.137;0.0002;0.0049;0.1273;0.1337;0.1369;0.1403;0.1466
beta[25,3];247;1.0106;0.1063;0.0003;0.0044;0.0981;0.1033;0.1063;0.1093;0.1148
beta[25,4];213;1.0129;0.1408;0.0003;0.0051;0.1313;0.1373;0.1404;0.1441;0.1514
beta[26,1];283;1.0129;0.6275;0.0008;0.0136;0.601;0.6189;0.6273;0.6367;0.6541
beta[26,2];401;1.011;0.1326;0.0003;0.0062;0.1201;0.1285;0.1328;0.1368;0.1442
beta[26,3];222;1.0146;0.1045;0.0004;0.0053;0.0943;0.101;0.1042;0.1077;0.1157
beta[26,4];382;1.0093;0.1354;0.0003;0.0062;0.1235;0.1311;0.1353;0.1397;0.147
beta[27,1];1;278;1.0061;0.6331;0.0005;0.018;0.5987;0.621;0.6322;0.645;0.6694
beta[27,2];1;136;1.0065;0.1306;0.0002;0.0077;0.1151;0.1257;0.1305;0.1358;0.1454
beta[27,3];473;1.0093;0.1032;0.0003;0.0061;0.0907;0.099;0.1035;0.1075;0.115
beta[27,4];1;138;1.0044;0.1331;0.0002;0.0073;0.1185;0.1283;0.1333;0.1377;0.1474
beta[28,1];1;600;1.0041;0.6386;0.0005;0.02;0.5995;0.6253;0.6375;0.6517;0.6797
beta[28,2];1;318;1.0046;0.1286;0.0002;0.0083;0.1116;0.1233;0.1288;0.134;0.1448
